PID,COMM,VA,PFN,mapping,folio_index,start_ns,latency_ns,PFN_Hex,VA_Hex,mapping_Hex,timestamp,Va_L1,Va_L2,Va_L3,Va_L4,PFN_Top_region,PFN_Top_region_4,PFN_slice_4,PFN_slice_3,PFN_slice_2,PFN_slice_1,PFN_slice_0,PFN_delta,lat_cluster
5970,pipewire-pulse,1.23326E+14,647921,534721225,0,0,1121761,9e2f1,9fa775000,1fdf32c9,00:00:00,373,467,167,224,0,158,9,14,2,15,1,0,2
5970,pipewire-pulse,1.23326E+14,85586,534721225,1,14168,1135929,1.40E+53,9fa776000,1fdf32c9,00:00:00,374,467,167,224,0,20,1,4,14,5,2,0,2
5970,pipewire-pulse,1.23326E+14,366549,534721225,2,18175,1139936,597d5,9fa777000,1fdf32c9,00:00:00,375,467,167,224,0,89,5,9,7,13,5,0,2
5970,pipewire-pulse,1.23326E+14,219197,534721225,3,21098,1142859,3583d,9fa778000,1fdf32c9,00:00:00,376,467,167,224,0,53,3,5,8,3,13,0,2
5970,pipewire-pulse,1.23326E+14,85607,534721225,4,24077,1145838,1.40E+68,9fa779000,1fdf32c9,00:00:00,377,467,167,224,0,20,1,4,14,6,7,0,2
5970,pipewire-pulse,1.23326E+14,865020,534721225,5,27215,1148976,d32fc,9fa77a000,1fdf32c9,00:00:00,378,467,167,224,0,211,13,3,2,15,12,0,2
5970,pipewire-pulse,1.23326E+14,627202,534721225,6,30098,1151859,99202,9fa77b000,1fdf32c9,00:00:00,379,467,167,224,0,153,9,9,2,0,2,0,2
5970,pipewire-pulse,1.23326E+14,358587,534721225,7,33160,1154921,578bb,9fa77c000,1fdf32c9,00:00:00,380,467,167,224,0,87,5,7,8,11,11,0,2
5970,pipewire-pulse,1.23326E+14,358589,3114169679,0,52794,1174555,578bd,9fa76c000,b99e754f,00:00:00,364,467,167,224,0,87,5,7,8,11,13,0,2
5970,pipewire-pulse,1.23326E+14,647933,3114169679,1,55881,1177642,9e2fd,9fa76d000,b99e754f,00:00:00,365,467,167,224,0,158,9,14,2,15,13,0,2
5970,pipewire-pulse,1.23326E+14,219172,3114169679,2,58893,1180654,35824,9fa76e000,b99e754f,00:00:00,366,467,167,224,0,53,3,5,8,2,4,0,2
5970,pipewire-pulse,1.23326E+14,737767,3114169679,3,60736,1182497,b41e7,9fa76f000,b99e754f,00:00:00,367,467,167,224,0,180,11,4,1,14,7,0,2
5970,pipewire-pulse,1.23326E+14,85573,3114169679,5,63615,1185376,1.40E+46,9fa771000,b99e754f,00:00:00,369,467,167,224,0,20,1,4,14,4,5,0,2
5970,pipewire-pulse,1.23326E+14,13044,3114169679,6,65154,1186915,32f4,9fa772000,b99e754f,00:00:00,370,467,167,224,0,3,0,3,2,15,4,0,2
5970,pipewire-pulse,1.23326E+14,860440,3114169679,7,66946,1188707,d2118,9fa773000,b99e754f,00:00:00,371,467,167,224,0,210,13,2,1,1,8,0,2
5970,pipewire-pulse,1.23326E+14,339961,534721225,0,6538675017,4868772,52ff9,9fa775000,1fdf32c9,00:00:06,373,467,167,224,0,82,5,2,15,15,9,-307960,3
5970,pipewire-pulse,1.23326E+14,674388,534721225,1,6538687833,4881588,a4a54,9fa776000,1fdf32c9,00:00:06,374,467,167,224,0,164,10,4,10,5,4,588802,3
5970,pipewire-pulse,1.23326E+14,621713,534721225,2,6538691807,4885562,97c91,9fa777000,1fdf32c9,00:00:06,375,467,167,224,0,151,9,7,12,9,1,255164,3
5970,pipewire-pulse,1.23326E+14,11648,534721225,3,6538695251,4889006,2d80,9fa778000,1fdf32c9,00:00:06,376,467,167,224,0,2,0,2,13,8,0,-207549,3
5970,pipewire-pulse,1.23326E+14,856879,534721225,4,6538764212,4957967,d132f,9fa779000,1fdf32c9,00:00:06,377,467,167,224,0,209,13,1,3,2,15,771272,3
5970,pipewire-pulse,1.23326E+14,621727,534721225,5,6538767897,4961652,97c9f,9fa77a000,1fdf32c9,00:00:06,378,467,167,224,0,151,9,7,12,9,15,-243293,3
5970,pipewire-pulse,1.23326E+14,860126,534721225,6,6538771195,4964950,d1fde,9fa77b000,1fdf32c9,00:00:06,379,467,167,224,0,209,13,1,15,13,14,232924,3
5970,pipewire-pulse,1.23326E+14,871388,534721225,7,6538774652,4968407,d4bdc,9fa77c000,1fdf32c9,00:00:06,380,467,167,224,0,212,13,4,11,13,12,512801,3
