PID    PPID   Minor-Faults Major-Faults RSS(KB) Command
 2761     1 1144246 39264 14828 systemd-journal
  212     1   1472    124 13056 wsl-pro-service
    1     0  61117     97 13184 systemd
15257  1297   1661     89 14592 stress-ng
  233     1   3197     70 22144 unattended-upgr
  662   661   2994     61 23064 docker-desktop-
  375     2    349     37  4352 login
14621 14601    450     30  6400 sudo
  203     1    845     18  4992 dbus-daemon
  210     1   1036      6  8448 systemd-logind
 1297  1294   8584      5  5120 bash
  202     1    628      3  2432 cron
  223     1    576      3  1792 agetty
15258  1297  63320      3  3456 collect_basic_d
15282 15281 12239917    3 526976 stress-ng-vm
  459   375   1267      2  4992 bash
 6346     1    953      2  5120 rsyslogd
 8230     1   1019      1  7808 polkitd
15281 15257     63      1  3120 stress-ng-vm
    2     1    210      0  1792 init-systemd(Ub
